row_type,candidate_id,source_id,center_timestamp,start_timestamp,end_timestamp,runtime_track_id,runtime_travel_px,suggested_review_decision,review_decision,reviewed_event_ts,sheet_path,clip_path,notes
true_placement_slot,real_factory_candidate-truth-slot-0001,,,,,,,,,,,,Fill this slot only after human review identifies one real completed placement.
true_placement_slot,real_factory_candidate-truth-slot-0002,,,,,,,,,,,,Fill this slot only after human review identifies one real completed placement.
true_placement_slot,real_factory_candidate-truth-slot-0003,,,,,,,,,,,,Fill this slot only after human review identifies one real completed placement.
true_placement_slot,real_factory_candidate-truth-slot-0004,,,,,,,,,,,,Fill this slot only after human review identifies one real completed placement.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0001,3,38.401,39.0,55.0,3,23.854,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0003_t000045.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0003_t000045.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0002,13,121.603,105.0,121.0,13,3.162,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0005_t000111.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0005_t000111.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0003,18,192.805,183.0,199.0,18,77.318,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0007_t000189.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0007_t000189.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0004,21,266.007,259.0,275.0,21,69.123,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0009_t000265.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0009_t000265.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0005,24,342.209,324.0,340.0,24,1.0,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0012_t000330.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0012_t000330.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0006,28,421.211,404.0,420.0,28,4.123,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0014_t000410.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0014_t000410.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0007,31,496.413,480.0,496.0,31,88.363,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0017_t000486.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0017_t000486.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0008,35,568.015,561.0,577.0,35,354.16,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0020_t000567.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0020_t000567.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
runtime_false_positive_candidate,real_factory_candidate-hard-negative-0009,38,630.217,617.0,633.0,38,88.233,hard_negative_static_or_duplicate,,,data/events/mined/real_factory_blind_motion_v1/sheets/real_factory_event_0022_t000623.00.jpg,data/events/mined/real_factory_blind_motion_v1/clips/real_factory_event_0022_t000623.00.mp4,Runtime false-positive candidate from failed static-detector diagnostic.
